model,split,metric,mean,ci_low,ci_high,n
base_temperature,val,accuracy,0.8729096989966555,0.8623222927154404,0.8834971052778706,5
base_temperature,val,f1_macro,0.8974692565353444,0.8888875666823388,0.9060509463883499,5
base_temperature,val,nll,0.4587924420833588,0.42218381168057484,0.49540107248614274,5
base_temperature,val,lppd,-137.17894287109374,-148.12492509634677,-126.2329606458407,5
base_temperature,val,brier,0.20596070289611818,0.18832494993100182,0.22359645586123453,5
base_temperature,val,ece,0.04743271380363899,0.023311118738853307,0.07155430886842468,5
base_temperature,val,mean_uncertainty,0.11169279813766479,0.09971429410634622,0.12367130216898337,5
base_temperature,test,accuracy,0.8658703071672355,0.859452162389955,0.8722884519445159,5
base_temperature,test,f1_macro,0.8663239647362501,0.8597000678391963,0.8729478616333038,5
base_temperature,test,nll,0.4961377203464508,0.48315192806677126,0.5091235126261304,5
base_temperature,test,lppd,-581.4734130859375,-596.6927702986093,-566.2540558732658,5
base_temperature,test,brier,0.22298618853092195,0.21491960289873158,0.23105277416311232,5
base_temperature,test,ece,0.043539498761652286,0.03309338410473917,0.0539856134185654,5
base_temperature,test,mean_uncertainty,0.1075883150100708,0.09912052253092336,0.11605610748921823,5
sidekick_temperature,val,accuracy,0.68561872909699,0.6672808034975515,0.7039566546964284,5
sidekick_temperature,val,f1_macro,0.7091268614401922,0.5911649296628539,0.8270887932175305,5
sidekick_temperature,val,nll,0.9812676787376404,0.9310181677493583,1.0315171897259225,5
sidekick_temperature,val,lppd,-293.39902954101564,-308.4236327692166,-278.37442631281465,5
sidekick_temperature,val,brier,0.480681848526001,0.454461106732303,0.506902590319699,5
sidekick_temperature,val,ece,0.049094233963401804,0.038240201442236145,0.05994826648456746,5
sidekick_temperature,val,mean_uncertainty,0.2964341402053833,0.2770193704563843,0.31584890995438225,5
sidekick_temperature,test,accuracy,0.7153583617747439,0.7041312937130484,0.7265854298364394,5
sidekick_temperature,test,f1_macro,0.7145349966215913,0.7033019683281823,0.7257680249150003,5
sidekick_temperature,test,nll,0.9111565232276917,0.8905499455658001,0.9317631008895833,5
sidekick_temperature,test,lppd,-1067.875439453125,-1092.0263553080874,-1043.7245235981625,5
sidekick_temperature,test,brier,0.4404186964035034,0.42942200097349204,0.45141539183351476,5
sidekick_temperature,test,ece,0.047093630813494484,0.033831686536439975,0.060355575090548993,5
sidekick_temperature,test,mean_uncertainty,0.29947099685668943,0.27375924269865637,0.3251827510147225,5
base,val,accuracy,0.8729096989966555,0.8623222927154404,0.8834971052778706,5
base,val,f1_macro,0.8974692565353444,0.8888875666823388,0.9060509463883499,5
base,val,nll,1.8430413961410523,1.6853666353405028,2.000716156941602,5
base,val,lppd,-551.069384765625,-598.2141488583185,-503.92462067293155,5
base,val,brier,0.24405836760997773,0.22567557784877962,0.26244115737117585,5
base,val,ece,0.12299182054191131,0.11314818180378608,0.13283545928003654,5
base,val,mean_uncertainty,0.005258965492248535,0.002077708392997144,0.008440222591499926,5
base,test,accuracy,0.8658703071672355,0.859452162389955,0.8722884519445159,5
base,test,f1_macro,0.8663239647362501,0.8597000678391963,0.8729478616333038,5
base,test,nll,2.074824905395508,2.023877839495629,2.1257719712953866,5
base,test,lppd,-2431.694775390625,-2491.404790157537,-2371.9847606237136,5
base,test,brier,0.261071041226387,0.247950844823897,0.27419123762887704,5
base,test,ece,0.13048840723550362,0.1241126997864854,0.13686411468452184,5
base,test,mean_uncertainty,0.004284882545471191,0.0026913763176919688,0.005878388773250413,5
sidekick,val,accuracy,0.68561872909699,0.6672808034975515,0.7039566546964284,5
sidekick,val,f1_macro,0.7091268614401922,0.5911649296628539,0.8270887932175305,5
sidekick,val,nll,4.84531192779541,4.337984623149757,5.352639232441063,5
sidekick,val,lppd,-1448.7482666015626,-1600.43910721351,-1297.0574259896152,5
sidekick,val,brier,0.6202606081962585,0.5816038420795395,0.6589173743129775,5
sidekick,val,ece,0.3108127909360522,0.2909737224628038,0.3306518594093006,5
sidekick,val,mean_uncertainty,0.006786561012268067,0.004206867001011012,0.009366255023525122,5
sidekick,test,accuracy,0.7153583617747439,0.7041312937130484,0.7265854298364394,5
sidekick,test,f1_macro,0.7145349966215913,0.7033019683281823,0.7257680249150003,5
sidekick,test,nll,4.234341144561768,4.176782526594755,4.2918997625287805,5
sidekick,test,lppd,-4962.64775390625,-5030.106452779692,-4895.189055032808,5
sidekick,test,brier,0.5597448348999023,0.5398018169810531,0.5796878528187516,5
sidekick,test,ece,0.277347514735147,0.26547553850922717,0.28921949096106686,5
sidekick,test,mean_uncertainty,0.008627486228942872,0.007393355866262319,0.009861616591623426,5
duo,val,accuracy,0.8749163879598661,0.8586729252370363,0.891159850682696,5
