,seed,data,model,split,accuracy,f1_macro,nll,lppd,brier,ece,mean_uncertainty
0,1,obqa,base,val,0.918,0.9179207504184306,0.8872537016868591,-443.6268615722656,0.1624009609222412,0.083066556930542,0.0032851696014404297
1,1,obqa,sidekick,test,0.802,0.8010733973512008,1.5301809310913086,-765.0904541015625,0.3733047842979431,0.1869377543926239,0.020399093627929688
2,1,obqa,duo,val,0.92,0.9196806985662839,0.2790164053440094,-139.50820922851562,0.13244763016700745,0.02609617215394973,0.07574659585952759
3,1,obqa,base,test,0.898,0.8987180791288847,0.9812505841255188,-490.62530517578125,0.19617341458797455,0.09792412042617796,0.004075884819030762
4,1,obqa,sidekick,val,0.816,0.8143491296664235,1.475460171699524,-737.7301025390625,0.3517964482307434,0.17407543909549708,0.015874862670898438
5,1,obqa,duo,test,0.91,0.9103227920919152,0.3183004558086395,-159.1502227783203,0.15091057121753693,0.03255186212062833,0.08263814449310303
