model,split,accuracy,f1_macro,nll,brier,ece,lppd,mean_uncertainty
base,val,0.8789 ± 0.0090,0.9028 ± 0.0074,1.7047 ± 0.2113,0.2386 ± 0.0164,0.1217 ± 0.0083,-509.6948 ± 63.1880,0.0053 ± 0.0024
base,test,0.8669 ± 0.0035,0.8676 ± 0.0036,2.0201 ± 0.1344,0.2591 ± 0.0088,0.1289 ± 0.0037,-2367.5806 ± 157.5472,0.0053 ± 0.0017
sidekick,val,0.5151 ± 0.0000,0.4127 ± 0.0000,7.4687 ± 0.0000,0.9457 ± 0.0000,0.4675 ± 0.0000,-2233.1296 ± 0.0000,0.0175 ± 0.0000
sidekick,test,0.4949 ± 0.0000,0.4938 ± 0.0000,7.8782 ± 0.0000,0.9874 ± 0.0000,0.4906 ± 0.0000,-9233.2783 ± 0.0000,0.0177 ± 0.0000
duo,val,0.8729 ± 0.0114,0.8978 ± 0.0093,0.4390 ± 0.0289,0.2029 ± 0.0136,0.0420 ± 0.0092,-131.2642 ± 8.6307,0.1103 ± 0.0099
duo,test,0.8667 ± 0.0035,0.8675 ± 0.0034,0.4906 ± 0.0208,0.2215 ± 0.0097,0.0320 ± 0.0088,-574.9559 ± 24.3453,0.1038 ± 0.0083
base_de(2),test,0.8695 ± 0.0059,0.8702 ± 0.0056,1.7060 ± 0.0830,0.2396 ± 0.0081,0.1087 ± 0.0075,-1999.4723 ± 97.2479,0.0242 ± 0.0047
sidekick_de(2),test,0.4949 ± 0.0000,0.4938 ± 0.0000,7.8782 ± 0.0000,0.9874 ± 0.0000,0.4906 ± 0.0000,-9233.2783 ± 0.0000,0.0177 ± 0.0000
