model,split,metric,mean,ci_low,ci_high,n
base,val,accuracy,0.8789297658862875,0.8699268782530504,0.8879326535195246,5
base,val,f1_macro,0.9027563071125808,0.8953077655870151,0.9102048486381465,5
base,val,nll,1.7046649932861329,1.493333810802922,1.9159961757693438,5
base,val,lppd,-509.6948303222656,-572.8828508764219,-446.5068097681093,5
base,val,brier,0.23860062062740325,0.22219302722268952,0.255008214032117,5
base,val,ece,0.12171216868237908,0.1134272487555881,0.12999708860917006,5
base,val,mean_uncertainty,0.00527724027633667,0.002849275012262725,0.0077052055404106135,5
base,test,accuracy,0.8668941979522184,0.8633804320838444,0.8704079638205925,5
base,test,f1_macro,0.8676139544152264,0.8640516195007626,0.8711762893296902,5
base,test,nll,2.0201199769973757,1.8856940645811604,2.154545889413591,5
base,test,lppd,-2367.58056640625,-2525.127733982843,-2210.033398829657,5
base,test,brier,0.259097957611084,0.2502479912806485,0.2679479239415195,5
base,test,ece,0.1288532536743851,0.12514728561566515,0.13255922173310505,5
base,test,mean_uncertainty,0.005261039733886719,0.0035430406814692464,0.006979038786304192,5
sidekick,val,accuracy,0.5150501672240803,0.5150501672240803,0.5150501672240803,5
sidekick,val,f1_macro,0.41273816500067306,0.41273816500067306,0.41273816500067306,5
sidekick,val,nll,7.468660831451416,7.468660831451416,7.468660831451416,5
sidekick,val,lppd,-2233.129638671875,-2233.129638671875,-2233.129638671875,5
sidekick,val,brier,0.9456526637077332,0.9456526637077332,0.9456526637077332,5
sidekick,val,ece,0.46747807734786073,0.46747807734786073,0.46747807734786073,5
sidekick,val,mean_uncertainty,0.017471671104431152,0.017471671104431152,0.017471671104431152,5
sidekick,test,accuracy,0.49488054607508525,0.4948805460750852,0.4948805460750853,5
sidekick,test,f1_macro,0.4938268048206928,0.4938268048206928,0.4938268048206928,5
sidekick,test,nll,7.878223896026611,7.878223896026611,7.878223896026611,5
sidekick,test,lppd,-9233.2783203125,-9233.2783203125,-9233.2783203125,5
sidekick,test,brier,0.9873626828193665,0.9873626828193665,0.9873626828193665,5
sidekick,test,ece,0.490604907986247,0.490604907986247,0.490604907986247,5
sidekick,test,mean_uncertainty,0.01770496368408203,0.01770496368408203,0.01770496368408203,5
duo,val,accuracy,0.8729096989966555,0.8615370003234405,0.8842823976698705,5
duo,val,f1_macro,0.8978072366181878,0.8884714943891729,0.9071429788472027,5
duo,val,nll,0.43901081681251525,0.41014572079602446,0.46787591282900604,5
duo,val,lppd,-131.2642333984375,-139.89489844320363,-122.6335683536714,5
duo,val,brier,0.20286584198474883,0.1893091707930041,0.21642251317649355,5
duo,val,ece,0.04202757886420923,0.0327953850713074,0.051259772657111055,5
duo,val,mean_uncertainty,0.11032758951187134,0.10040848038020982,0.12024669864353286,5
duo,test,accuracy,0.8667235494880545,0.8632580298342242,0.8701890691418849,5
duo,test,f1_macro,0.8674846157244712,0.864062642037287,0.8709065894116554,5
duo,test,nll,0.4905767202377319,0.46980429914026933,0.5113491413351945,5
duo,test,lppd,-574.955908203125,-599.3011966065831,-550.6106197996669,5
duo,test,brier,0.22146618664264678,0.2118062454468456,0.23112612783844796,5
duo,test,ece,0.031961372642183475,0.023167874506791204,0.040754870777575745,5
duo,test,mean_uncertainty,0.10382661819458008,0.09548831638179038,0.11216492000736979,5
base_de(2),test,accuracy,0.8694539249146758,0.8636029747772164,0.8753048750521352,5
base_de(2),test,f1_macro,0.8701517059646176,0.8645469750921401,0.875756436837095,5
base_de(2),test,nll,1.7060343503952027,1.6230583289352125,1.7890103718551928,5
base_de(2),test,lppd,-1999.4722900390625,-2096.7201946492028,-1902.2243854289222,5
base_de(2),test,brier,0.23957197666168212,0.23151539183851297,0.24762856148485127,5
base_de(2),test,ece,0.1086503176965811,0.10119179057295136,0.11610884482021083,5
base_de(2),test,mean_uncertainty,0.0241766095161438,0.019427777533598763,0.028925441498688836,5
sidekick_de(2),test,accuracy,0.49488054607508525,0.4948805460750852,0.4948805460750853,5
sidekick_de(2),test,f1_macro,0.4938268048206928,0.4938268048206928,0.4938268048206928,5
sidekick_de(2),test,nll,7.878223896026611,7.878223896026611,7.878223896026611,5
sidekick_de(2),test,lppd,-9233.2783203125,-9233.2783203125,-9233.2783203125,5
sidekick_de(2),test,brier,0.9873626828193665,0.9873626828193665,0.9873626828193665,5
sidekick_de(2),test,ece,0.490604907986247,0.490604907986247,0.490604907986247,5
sidekick_de(2),test,mean_uncertainty,0.01770496368408203,0.01770496368408203,0.01770496368408203,5
