model,split,metric,mean,ci_low,ci_high,n
base_temperature,val,accuracy,0.864271047227926,0.857382358552512,0.8711597359033401,5
base_temperature,val,f1_macro,0.8639455099731222,0.8569814712144548,0.8709095487317897,5
base_temperature,val,nll,0.5021965026855468,0.4854193367099087,0.518973668661185,5
base_temperature,val,lppd,-489.13939208984374,-505.48034659175937,-472.7984375879281,5
base_temperature,val,brier,0.22545590996742249,0.21652382460685063,0.23438799532799434,5
base_temperature,val,ece,0.03241658375370917,0.0234790513457215,0.04135411616169684,5
base_temperature,val,mean_uncertainty,0.12378027439117431,0.11917076554291635,0.1283897832394323,5
base_temperature,test,accuracy,0.8533988533988535,0.8483653372386605,0.8584323695590464,5
base_temperature,test,f1_macro,0.8528630398098119,0.8479324518905242,0.8577936277290996,5
base_temperature,test,nll,0.525028395652771,0.5039677745752829,0.5460890167302592,5
base_temperature,test,lppd,-641.05966796875,-666.7746747529483,-615.3446611845517,5
base_temperature,test,brier,0.2428286075592041,0.23462951569472837,0.25102769942367986,5
base_temperature,test,ece,0.03547672076024159,0.02773087015255861,0.04322257136792457,5
base_temperature,test,mean_uncertainty,0.1254342555999756,0.12019941678123344,0.13066909441871774,5
sidekick_temperature,val,accuracy,0.76652977412731,0.7571358932869248,0.7759236549676953,5
sidekick_temperature,val,f1_macro,0.766038127981998,0.7565510168646847,0.7755252390993113,5
sidekick_temperature,val,nll,0.789848268032074,0.7679722329662934,0.8117243030978546,5
sidekick_temperature,val,lppd,-769.31220703125,-790.6194703324461,-748.0049437300538,5
sidekick_temperature,val,brier,0.3697676360607147,0.3581275314835442,0.38140774063788524,5
sidekick_temperature,val,ece,0.043200961382604486,0.035481769660809626,0.050920153104399346,5
sidekick_temperature,val,mean_uncertainty,0.22423782348632812,0.21723370478245155,0.2312419421902047,5
sidekick_temperature,test,accuracy,0.7462735462735463,0.7429471015280187,0.7495999910190738,5
sidekick_temperature,test,f1_macro,0.7461805218061077,0.7430123597877992,0.7493486838244162,5
sidekick_temperature,test,nll,0.8371593117713928,0.819259778980601,0.8550588445621846,5
sidekick_temperature,test,lppd,-1022.1715087890625,-1044.0268231729276,-1000.3161944051973,5
sidekick_temperature,test,brier,0.39366568326950074,0.3853943302178376,0.4019370363211639,5
sidekick_temperature,test,ece,0.038945926934553884,0.032844978302250236,0.04504687556685753,5
sidekick_temperature,test,mean_uncertainty,0.22699735164642335,0.21556093611840202,0.23843376717444467,5
base,val,accuracy,0.864271047227926,0.857382358552512,0.8711597359033401,5
base,val,f1_macro,0.8639455099731222,0.8569814712144548,0.8709095487317897,5
base,val,nll,2.4141287803649902,2.200751513508515,2.6275060472214653,5
base,val,lppd,-2351.36142578125,-2559.1909282959923,-2143.531923266508,5
base,val,brier,0.2669868260622025,0.25377984533818343,0.2801938067862215,5
base,val,ece,0.13353367914164577,0.12649654249398512,0.1405708157893064,5
base,val,mean_uncertainty,0.003449273109436035,0.0025958625705483,0.0043026836483237695,5
base,test,accuracy,0.8533988533988535,0.8483653372386605,0.8584323695590464,5
base,test,f1_macro,0.8528630398098119,0.8479324518905242,0.8577936277290996,5
base,test,nll,2.556667184829712,2.317786538764034,2.79554783089539,5
base,test,lppd,-3121.690625,-3413.363804886993,-2830.0174451130074,5
base,test,brier,0.2879681646823883,0.2792492266342056,0.296687102730571,5
base,test,ece,0.1438317201159022,0.13878179864502782,0.14888164158677658,5
base,test,mean_uncertainty,0.0035809040069580077,0.0025037993571217264,0.004658008656794289,5
sidekick,val,accuracy,0.76652977412731,0.7571358932869248,0.7759236549676953,5
sidekick,val,f1_macro,0.766038127981998,0.7565510168646847,0.7755252390993113,5
sidekick,val,nll,3.2296555995941163,2.944879248601124,3.5144319505871087,5
