model,split,accuracy,f1_macro,nll,brier,ece,lppd,mean_uncertainty
base,val,0.9176 ± 0.0044,0.9176 ± 0.0042,0.9052 ± 0.1621,0.1594 ± 0.0102,0.0813 ± 0.0043,-452.6241 ± 81.0528,0.0034 ± 0.0015
base,test,0.9076 ± 0.0092,0.9073 ± 0.0085,0.9556 ± 0.1511,0.1779 ± 0.0165,0.0895 ± 0.0076,-477.7974 ± 75.5604,0.0052 ± 0.0010
sidekick,val,0.6660 ± 0.0000,0.6625 ± 0.0000,2.6002 ± 0.0000,0.6322 ± 0.0000,0.3072 ± 0.0000,-1300.1243 ± 0.0000,0.0369 ± 0.0000
sidekick,test,0.6420 ± 0.0000,0.6416 ± 0.0000,2.8077 ± 0.0000,0.6678 ± 0.0000,0.3177 ± 0.0000,-1403.8287 ± 0.0000,0.0403 ± 0.0000
duo,val,0.9172 ± 0.0045,0.9174 ± 0.0043,0.3072 ± 0.0178,0.1382 ± 0.0094,0.0229 ± 0.0080,-153.6101 ± 8.9007,0.0750 ± 0.0050
duo,test,0.9084 ± 0.0097,0.9081 ± 0.0089,0.3313 ± 0.0252,0.1516 ± 0.0137,0.0277 ± 0.0131,-165.6431 ± 12.5857,0.0828 ± 0.0083
base_de(2),test,0.9100 ± 0.0118,0.9100 ± 0.0120,0.7922 ± 0.0872,0.1601 ± 0.0128,0.0740 ± 0.0090,-396.0766 ± 43.6098,0.0227 ± 0.0029
sidekick_de(2),test,0.6420 ± 0.0000,0.6416 ± 0.0000,2.8077 ± 0.0000,0.6678 ± 0.0000,0.3177 ± 0.0000,-1403.8287 ± 0.0000,0.0403 ± 0.0000
