model,split,accuracy,f1_macro,nll,brier,ece,lppd,mean_uncertainty
base,val,0.8671 ± 0.0054,0.8668 ± 0.0053,2.3187 ± 0.1473,0.2599 ± 0.0106,0.1299 ± 0.0056,-2258.4459 ± 143.4970,0.0039 ± 0.0015
base,test,0.8509 ± 0.0067,0.8506 ± 0.0067,2.5892 ± 0.1414,0.2935 ± 0.0136,0.1468 ± 0.0073,-3161.4740 ± 172.5929,0.0029 ± 0.0006
sidekick,val,0.6160 ± 0.0000,0.6152 ± 0.0000,4.1786 ± 0.0000,0.7458 ± 0.0000,0.3654 ± 0.0000,-4069.9827 ± 0.0000,0.0186 ± 0.0000
sidekick,test,0.6257 ± 0.0000,0.6258 ± 0.0000,4.0573 ± 0.0000,0.7236 ± 0.0000,0.3546 ± 0.0000,-4953.9932 ± 0.0000,0.0199 ± 0.0000
duo,val,0.8653 ± 0.0081,0.8651 ± 0.0082,0.4742 ± 0.0143,0.2162 ± 0.0074,0.0288 ± 0.0107,-461.8522 ± 13.9173,0.1227 ± 0.0056
duo,test,0.8509 ± 0.0077,0.8506 ± 0.0077,0.5131 ± 0.0201,0.2404 ± 0.0105,0.0313 ± 0.0067,-626.4505 ± 24.4883,0.1193 ± 0.0073
base_de(2),test,0.8563 ± 0.0027,0.8560 ± 0.0027,1.9776 ± 0.0928,0.2578 ± 0.0057,0.1086 ± 0.0012,-2414.6387 ± 113.3684,0.0373 ± 0.0022
sidekick_de(2),test,0.6257 ± 0.0000,0.6258 ± 0.0000,4.0573 ± 0.0000,0.7236 ± 0.0000,0.3546 ± 0.0000,-4953.9932 ± 0.0000,0.0199 ± 0.0000
