model,split,metric,mean,ci_low,ci_high,n
base,val,accuracy,0.8671457905544149,0.8617673653518221,0.8725242157570077,5
base,val,f1_macro,0.8668228561602248,0.8615034862416039,0.8721422260788457,5
base,val,nll,2.3187329292297365,2.1714053116880336,2.4660605467714394,5
base,val,lppd,-2258.4458984375,-2401.9429331565075,-2114.9488637184927,5
base,val,brier,0.25993419587612154,0.2493461340088682,0.2705222577433749,5
base,val,ece,0.12992594309411254,0.12431239327633328,0.1355394929118918,5
base,val,mean_uncertainty,0.0039038896560668946,0.002402377016881096,0.005405402295252693,5
base,test,accuracy,0.8509418509418509,0.8441963413632524,0.8576873605204495,5
base,test,f1_macro,0.8506289560737109,0.8439507333287463,0.8573071788186756,5
base,test,nll,2.589249849319458,2.4478961142964364,2.7306035843424796,5
base,test,lppd,-3161.4740234375,-3334.06696999098,-2988.88107688402,5
base,test,brier,0.2935227394104004,0.27989723850779674,0.3071482403130041,5
base,test,ece,0.14684410941688666,0.13950468861914697,0.15418353021462636,5
base,test,mean_uncertainty,0.002850162982940674,0.0022410540542379775,0.0034592719116433705,5
sidekick,val,accuracy,0.6160164271047228,0.6160164271047228,0.6160164271047228,5
sidekick,val,f1_macro,0.6151976963631671,0.6151976963631671,0.6151976963631671,5
sidekick,val,nll,4.178627014160156,4.178627014160156,4.178627014160156,5
sidekick,val,lppd,-4069.982666015625,-4069.982666015625,-4069.982666015625,5
sidekick,val,brier,0.745756983757019,0.745756983757019,0.745756983757019,5
sidekick,val,ece,0.3654004811200274,0.3654004811200274,0.3654004811200274,5
sidekick,val,mean_uncertainty,0.018640339374542236,0.018640339374542236,0.018640339374542236,5
sidekick,test,accuracy,0.6257166257166257,0.6257166257166257,0.6257166257166257,5
sidekick,test,f1_macro,0.6258120561222948,0.6258120561222948,0.6258120561222948,5
sidekick,test,nll,4.057324409484863,4.057324409484863,4.057324409484863,5
sidekick,test,lppd,-4953.9931640625,-4953.9931640625,-4953.9931640625,5
sidekick,test,brier,0.7236220240592957,0.7236220240592957,0.7236220240592957,5
sidekick,test,ece,0.35456953948877756,0.35456953948877756,0.35456953948877756,5
sidekick,test,mean_uncertainty,0.019912660121917725,0.019912660121917725,0.019912660121917725,5
duo,val,accuracy,0.8652977412731004,0.8571648992433577,0.8734305833028432,5
duo,val,f1_macro,0.8650725023745094,0.8568947537542791,0.8732502509947396,5
duo,val,nll,0.4741809368133545,0.45989207100630314,0.48846980262040585,5
duo,val,lppd,-461.85223388671875,-475.7695813048382,-447.9348864685993,5
duo,val,brier,0.21621341109275818,0.20880802386022948,0.2236187983252869,5
duo,val,ece,0.02883644376324921,0.018176691909744594,0.039496195616753826,5
duo,val,mean_uncertainty,0.12265663146972657,0.11701364732286762,0.1282996156165855,5
duo,test,accuracy,0.8509418509418509,0.8432306441918573,0.8586530576918445,5
duo,test,f1_macro,0.8505864093844714,0.8429037756215219,0.8582690431474209,5
duo,test,nll,0.5130634188652039,0.4930075065555172,0.5331193311748906,5
duo,test,lppd,-626.4504516601562,-650.9387262507935,-601.9621770695189,5
duo,test,brier,0.24038687348365784,0.22991160126875096,0.25086214569856474,5
duo,test,ece,0.03127917951975173,0.024603876670911937,0.03795448236859153,5
duo,test,mean_uncertainty,0.1192604660987854,0.11194787545337612,0.1265730567441947,5
base_de(2),test,accuracy,0.8563472563472564,0.8536954434320906,0.8589990692624222,5
base_de(2),test,f1_macro,0.856018037440532,0.8533273224758174,0.8587087524052465,5
base_de(2),test,nll,1.9775910377502441,1.8847422759354675,2.0704397995650208,5
base_de(2),test,lppd,-2414.638671875,-2528.007113871942,-2301.270229878058,5
base_de(2),test,brier,0.25778632760047915,0.2520522476549031,0.2635204075460552,5
base_de(2),test,ece,0.1086388464739438,0.10746506635674084,0.10981262659114675,5
base_de(2),test,mean_uncertainty,0.037348043918609616,0.03514797112496899,0.039548116712250246,5
sidekick_de(2),test,accuracy,0.6257166257166257,0.6257166257166257,0.6257166257166257,5
sidekick_de(2),test,f1_macro,0.6258120561222948,0.6258120561222948,0.6258120561222948,5
sidekick_de(2),test,nll,4.057324409484863,4.057324409484863,4.057324409484863,5
sidekick_de(2),test,lppd,-4953.9931640625,-4953.9931640625,-4953.9931640625,5
sidekick_de(2),test,brier,0.7236220240592957,0.7236220240592957,0.7236220240592957,5
sidekick_de(2),test,ece,0.35456953948877756,0.35456953948877756,0.35456953948877756,5
sidekick_de(2),test,mean_uncertainty,0.019912660121917725,0.019912660121917725,0.019912660121917725,5
