,seed,data,model,split,accuracy,f1_macro,nll,lppd,brier,ece,mean_uncertainty
0,3,arc_c,base_temperature,val,0.8662207357859532,0.8921750425506225,0.4721006155014038,-141.1580810546875,0.21826833486557007,0.06381839264595385,0.1154094934463501
1,1,arc_c,sidekick_temperature,test,0.7064846416382252,0.7063143229928788,0.9255351424217224,-1084.7271728515625,0.45170921087265015,0.02003863169064702,0.2881990671157837
2,2,arc_c,base,val,0.882943143812709,0.9059092576739636,1.4495857954025269,-433.4261474609375,0.22669360041618347,0.11562031328080097,0.006510734558105469
3,4,arc_c,sidekick,test,0.7064846416382252,0.7063143229928788,4.540306091308594,-5321.23876953125,0.5755929946899414,0.28541629781800326,0.009051144123077393
4,5,arc_c,duo,val,0.8662207357859532,0.8927844005819381,0.42477160692214966,-127.0067138671875,0.20416498184204102,0.04785778071968053,0.1069023609161377
5,3,arc_c,base_temperature,test,0.863481228668942,0.8640165573118412,0.5058194994926453,-592.8204345703125,0.22690191864967346,0.032643198076978894,0.10704505443572998
6,1,arc_c,sidekick_temperature,val,0.6923076923076923,0.7534705833493216,0.9539743065834045,-285.2383117675781,0.46743571758270264,0.040416669088063836,0.2880135178565979
7,2,arc_c,base,test,0.8677474402730375,0.868851913760319,1.8965139389038086,-2222.71435546875,0.25784415006637573,0.12825843920683297,0.006449401378631592
8,4,arc_c,sidekick,val,0.6923076923076923,0.7534705833493216,4.778637409210205,-1428.8126220703125,0.6006534099578857,0.29712503520541367,0.011917173862457275
9,5,arc_c,duo,test,0.8728668941979523,0.8737850767965301,0.46379080414772034,-543.5628051757812,0.21237246692180634,0.0357146359242677,0.09990674257278442
10,3,arc_c,base_temperature,val,0.8662207357859532,0.8921750425506225,0.4721006155014038,-141.1580810546875,0.21826833486557007,0.06381839264595385,0.1154094934463501
11,1,arc_c,sidekick_temperature,test,0.7064846416382252,0.7063143229928788,0.9255351424217224,-1084.7271728515625,0.45170921087265015,0.02003863169064702,0.2881990671157837
12,2,arc_c,base,val,0.882943143812709,0.9059092576739636,1.4495857954025269,-433.4261474609375,0.22669360041618347,0.11562031328080097,0.006510734558105469
13,4,arc_c,sidekick,test,0.7064846416382252,0.7063143229928788,4.540306091308594,-5321.23876953125,0.5755929946899414,0.28541629781800326,0.009051144123077393
14,5,arc_c,duo,val,0.8662207357859532,0.8927844005819381,0.42477160692214966,-127.0067138671875,0.20416498184204102,0.04785778071968053,0.1069023609161377
15,3,arc_c,base_temperature,test,0.863481228668942,0.8640165573118412,0.5058194994926453,-592.8204345703125,0.22690191864967346,0.032643198076978894,0.10704505443572998
16,1,arc_c,sidekick_temperature,val,0.6923076923076923,0.7534705833493216,0.9539743065834045,-285.2383117675781,0.46743571758270264,0.040416669088063836,0.2880135178565979
17,2,arc_c,base,test,0.8677474402730375,0.868851913760319,1.8965139389038086,-2222.71435546875,0.25784415006637573,0.12825843920683297,0.006449401378631592
18,4,arc_c,sidekick,val,0.6923076923076923,0.7534705833493216,4.778637409210205,-1428.8126220703125,0.6006534099578857,0.29712503520541367,0.011917173862457275
19,5,arc_c,duo,test,0.8728668941979523,0.8737850767965301,0.46379080414772034,-543.5628051757812,0.21237246692180634,0.0357146359242677,0.09990674257278442
20,3,arc_c,base_temperature,val,0.8662207357859532,0.8921750425506225,0.4721006155014038,-141.1580810546875,0.21826833486557007,0.06381839264595385,0.1154094934463501
21,1,arc_c,sidekick_temperature,test,0.7064846416382252,0.7063143229928788,0.9255351424217224,-1084.7271728515625,0.45170921087265015,0.02003863169064702,0.2881990671157837
22,2,arc_c,base,val,0.882943143812709,0.9059092576739636,1.4495857954025269,-433.4261474609375,0.22669360041618347,0.11562031328080097,0.006510734558105469
23,4,arc_c,sidekick,test,0.7064846416382252,0.7063143229928788,4.540306091308594,-5321.23876953125,0.5755929946899414,0.28541629781800326,0.009051144123077393
24,5,arc_c,duo,val,0.8662207357859532,0.8927844005819381,0.42477160692214966,-127.0067138671875,0.20416498184204102,0.04785778071968053,0.1069023609161377
25,3,arc_c,base_temperature,test,0.863481228668942,0.8640165573118412,0.5058194994926453,-592.8204345703125,0.22690191864967346,0.032643198076978894,0.10704505443572998
26,1,arc_c,sidekick_temperature,val,0.6923076923076923,0.7534705833493216,0.9539743065834045,-285.2383117675781,0.46743571758270264,0.040416669088063836,0.2880135178565979
27,2,arc_c,base,test,0.8677474402730375,0.868851913760319,1.8965139389038086,-2222.71435546875,0.25784415006637573,0.12825843920683297,0.006449401378631592
28,4,arc_c,sidekick,val,0.6923076923076923,0.7534705833493216,4.778637409210205,-1428.8126220703125,0.6006534099578857,0.29712503520541367,0.011917173862457275
29,5,arc_c,duo,test,0.8728668941979523,0.8737850767965301,0.46379080414772034,-543.5628051757812,0.21237246692180634,0.0357146359242677,0.09990674257278442
30,3,arc_c,base_temperature,val,0.8662207357859532,0.8921750425506225,0.4721006155014038,-141.1580810546875,0.21826833486557007,0.06381839264595385,0.1154094934463501
31,1,arc_c,sidekick_temperature,test,0.7064846416382252,0.7063143229928788,0.9255351424217224,-1084.7271728515625,0.45170921087265015,0.02003863169064702,0.2881990671157837
32,2,arc_c,base,val,0.882943143812709,0.9059092576739636,1.4495857954025269,-433.4261474609375,0.22669360041618347,0.11562031328080097,0.006510734558105469
33,4,arc_c,sidekick,test,0.7064846416382252,0.7063143229928788,4.540306091308594,-5321.23876953125,0.5755929946899414,0.28541629781800326,0.009051144123077393
34,5,arc_c,duo,val,0.8662207357859532,0.8927844005819381,0.42477160692214966,-127.0067138671875,0.20416498184204102,0.04785778071968053,0.1069023609161377
35,3,arc_c,base_temperature,test,0.863481228668942,0.8640165573118412,0.5058194994926453,-592.8204345703125,0.22690191864967346,0.032643198076978894,0.10704505443572998
36,1,arc_c,sidekick_temperature,val,0.6923076923076923,0.7534705833493216,0.9539743065834045,-285.2383117675781,0.46743571758270264,0.040416669088063836,0.2880135178565979
37,2,arc_c,base,test,0.8677474402730375,0.868851913760319,1.8965139389038086,-2222.71435546875,0.25784415006637573,0.12825843920683297,0.006449401378631592
38,4,arc_c,sidekick,val,0.6923076923076923,0.7534705833493216,4.778637409210205,-1428.8126220703125,0.6006534099578857,0.29712503520541367,0.011917173862457275
39,5,arc_c,duo,test,0.8728668941979523,0.8737850767965301,0.46379080414772034,-543.5628051757812,0.21237246692180634,0.0357146359242677,0.09990674257278442
40,3,arc_c,base_temperature,val,0.8662207357859532,0.8921750425506225,0.4721006155014038,-141.1580810546875,0.21826833486557007,0.06381839264595385,0.1154094934463501
41,1,arc_c,sidekick_temperature,test,0.7064846416382252,0.7063143229928788,0.9255351424217224,-1084.7271728515625,0.45170921087265015,0.02003863169064702,0.2881990671157837
42,2,arc_c,base,val,0.882943143812709,0.9059092576739636,1.4495857954025269,-433.4261474609375,0.22669360041618347,0.11562031328080097,0.006510734558105469
43,4,arc_c,sidekick,test,0.7064846416382252,0.7063143229928788,4.540306091308594,-5321.23876953125,0.5755929946899414,0.28541629781800326,0.009051144123077393
44,5,arc_c,duo,val,0.8662207357859532,0.8927844005819381,0.42477160692214966,-127.0067138671875,0.20416498184204102,0.04785778071968053,0.1069023609161377
45,3,arc_c,base_temperature,test,0.863481228668942,0.8640165573118412,0.5058194994926453,-592.8204345703125,0.22690191864967346,0.032643198076978894,0.10704505443572998
46,1,arc_c,sidekick_temperature,val,0.6923076923076923,0.7534705833493216,0.9539743065834045,-285.2383117675781,0.46743571758270264,0.040416669088063836,0.2880135178565979
47,2,arc_c,base,test,0.8677474402730375,0.868851913760319,1.8965139389038086,-2222.71435546875,0.25784415006637573,0.12825843920683297,0.006449401378631592
48,4,arc_c,sidekick,val,0.6923076923076923,0.7534705833493216,4.778637409210205,-1428.8126220703125,0.6006534099578857,0.29712503520541367,0.011917173862457275
49,5,arc_c,duo,test,0.8728668941979523,0.8737850767965301,0.46379080414772034,-543.5628051757812,0.21237246692180634,0.0357146359242677,0.09990674257278442
