,seed,data,model,split,accuracy,f1_macro,nll,lppd,brier,ece,mean_uncertainty
0,1,csqa,base,val,0.8655030800821355,0.8650204255690639,2.3003196716308594,-2240.511474609375,0.26392021775245667,0.1308292335308553,0.003667771816253662
1,2,csqa,sidekick,test,0.6257166257166257,0.6258120561222948,4.057324409484863,-4953.9931640625,0.7236220240592957,0.35456953948877756,0.019912660121917725
2,3,csqa,duo,val,0.8624229979466119,0.8622296989219873,0.4855585992336273,-472.93408203125,0.2210003137588501,0.02032275721277786,0.1275780200958252
3,4,csqa,base,test,0.8566748566748567,0.8562298941621357,2.4711644649505615,-3017.291748046875,0.2800782322883606,0.14004923978074474,0.0032758116722106934
4,5,csqa,sidekick,val,0.6160164271047228,0.6151976963631671,4.178627014160156,-4069.982666015625,0.745756983757019,0.3654004811200274,0.018640339374542236
5,1,csqa,duo,test,0.8558558558558559,0.8554885537541171,0.5024100542068481,-613.4426879882812,0.23434790968894958,0.03335174325057271,0.11187618970870972
6,2,csqa,base,val,0.8747433264887063,0.8743498349791455,2.127051830291748,-2071.74853515625,0.2448893040418625,0.12192087759717042,0.003335893154144287
7,3,csqa,sidekick,test,0.6257166257166257,0.6258120561222948,4.057324409484863,-4953.9931640625,0.7236220240592957,0.35456953948877756,0.019912660121917725
8,4,csqa,duo,val,0.8716632443531828,0.8714968696070379,0.47183164954185486,-459.56402587890625,0.2138136476278305,0.022222128339127095,0.12191981077194214
9,5,csqa,base,test,0.8435708435708436,0.8432062951328945,2.769780397415161,-3381.90185546875,0.306817889213562,0.15359473628747858,0.002834498882293701
10,1,csqa,sidekick,val,0.6160164271047228,0.6151976963631671,4.178627014160156,-4069.982666015625,0.745756983757019,0.3654004811200274,0.018640339374542236
11,2,csqa,duo,test,0.8484848484848485,0.8483242497435717,0.5276515483856201,-644.2625732421875,0.24726036190986633,0.037088845105175086,0.1144263744354248
12,3,csqa,base,val,0.864476386036961,0.8643622929771709,2.3928215503692627,-2330.608154296875,0.262300580739975,0.13230898529597132,0.005017459392547607
13,4,csqa,sidekick,test,0.6257166257166257,0.6258120561222948,4.057324409484863,-4953.9931640625,0.7236220240592957,0.35456953948877756,0.019912660121917725
14,5,csqa,duo,val,0.8562628336755647,0.8560119554008887,0.4865207076072693,-473.87115478515625,0.22306165099143982,0.029316113959592455,0.12690144777297974
15,1,csqa,base,test,0.8558558558558559,0.8554906677821167,2.609302043914795,-3185.957763671875,0.2850485146045685,0.14177743662194475,0.0023666024208068848
16,2,csqa,sidekick,val,0.6160164271047228,0.6151976963631671,4.178627014160156,-4069.982666015625,0.745756983757019,0.3654004811200274,0.018640339374542236
17,3,csqa,duo,test,0.8452088452088452,0.8447990707199329,0.5156595706939697,-629.620361328125,0.24120618402957916,0.029346477316599416,0.1254447102546692
18,4,csqa,base,val,0.86652977412731,0.8662222541753225,2.3393232822418213,-2278.5009765625,0.2626611888408661,0.13212996372452013,0.0023029446601867676
19,5,csqa,sidekick,test,0.6257166257166257,0.6258120561222948,4.057324409484863,-4953.9931640625,0.7236220240592957,0.35456953948877756,0.019912660121917725
20,1,csqa,duo,val,0.864476386036961,0.8641343069705117,0.46615976095199585,-454.03961181640625,0.2150643914937973,0.04212146746549274,0.11990964412689209
21,2,csqa,base,test,0.8484848484848485,0.8484063539839874,2.5206174850463867,-3077.673828125,0.30058830976486206,0.15155415150301066,0.0023651123046875
22,3,csqa,sidekick,val,0.6160164271047228,0.6151976963631671,4.178627014160156,-4069.982666015625,0.745756983757019,0.3654004811200274,0.018640339374542236
23,4,csqa,duo,test,0.8591318591318591,0.8586999473949977,0.4912341237068176,-599.796875,0.2295863926410675,0.02300686679054343,0.12079572677612305
24,5,csqa,base,val,0.864476386036961,0.8641594731004212,2.4341483116149902,-2370.8603515625,0.2658996880054474,0.1324406553220455,0.0051953792572021484
25,1,csqa,sidekick,test,0.6257166257166257,0.6258120561222948,4.057324409484863,-4953.9931640625,0.7236220240592957,0.35456953948877756,0.019912660121917725
26,2,csqa,duo,val,0.8716632443531828,0.8714896809721214,0.46083396673202515,-448.852294921875,0.20812705159187317,0.030199751839255898,0.11697423458099365
27,3,csqa,base,test,0.8501228501228502,0.8498115693074201,2.5753848552703857,-3144.544921875,0.2950807511806488,0.14724498289125457,0.00340878963470459
28,4,csqa,sidekick,val,0.6160164271047228,0.6151976963631671,4.178627014160156,-4069.982666015625,0.745756983757019,0.3654004811200274,0.018640339374542236
29,5,csqa,duo,test,0.846027846027846,0.8456202253097374,0.5283617973327637,-645.1297607421875,0.2495335191488266,0.03360196513586804,0.12375932931900024
