,seed,data,model,split,accuracy,f1_macro,nll,lppd,brier,ece,mean_uncertainty
0,1,csqa,base,val,0.8655030800821355,0.8650204255690639,2.3003196716308594,-2240.511474609375,0.26392021775245667,0.1308292335308553,0.003667771816253662
1,2,csqa,sidekick,test,0.7469287469287469,0.7466703357906082,3.47839093208313,-4247.115234375,0.4960651099681854,0.24683461796544207,0.007512569427490234
2,3,csqa,duo,val,0.8542094455852156,0.8539366197396353,1.4375525301681085,-1400.1761643837376,0.25815505668836997,0.12088707684975494,0.028967424019516685
3,4,csqa,base,test,0.8566748566748567,0.8562298941621357,2.4711644649505615,-3017.291748046875,0.2800782322883606,0.14004923978074474,0.0032758116722106934
4,5,csqa,sidekick,val,0.7638603696098563,0.7629835671278998,3.2809488773345947,-3195.644287109375,0.463731974363327,0.22959761116538935,0.0075324177742004395
5,1,csqa,duo,test,0.8566748566748567,0.8560207797303896,1.4832616655163873,-1811.0624935955088,0.2594762792273899,0.11894094903478847,0.024384194290354655
6,2,csqa,base,val,0.8747433264887063,0.8743498349791455,2.127051830291748,-2071.74853515625,0.2448893040418625,0.12192087759717042,0.003335893154144287
7,3,csqa,sidekick,test,0.7469287469287469,0.7466703357906082,3.47839093208313,-4247.115234375,0.4960651099681854,0.24683461796544207,0.007512569427490234
8,4,csqa,duo,val,0.8531827515400411,0.8527905565833229,1.3913160756164593,-1355.1418576504313,0.25704524316047656,0.12091738045775693,0.02589986800220201
9,5,csqa,base,test,0.8435708435708436,0.8432062951328945,2.769780397415161,-3381.90185546875,0.306817889213562,0.15359473628747858,0.002834498882293701
10,1,csqa,sidekick,val,0.7638603696098563,0.7629835671278998,3.2809488773345947,-3195.644287109375,0.463731974363327,0.22959761116538935,0.0075324177742004395
11,2,csqa,duo,test,0.8574938574938575,0.8572821344295818,1.5143163653219562,-1848.9802820581085,0.25937750948102467,0.11614786406230948,0.027081526437626735
12,3,csqa,base,val,0.864476386036961,0.8643622929771709,2.3928215503692627,-2330.608154296875,0.262300580739975,0.13230898529597132,0.005017459392547607
13,4,csqa,sidekick,test,0.7469287469287469,0.7466703357906082,3.47839093208313,-4247.115234375,0.4960651099681854,0.24683461796544207,0.007512569427490234
14,5,csqa,duo,val,0.8490759753593429,0.8485681271887016,1.4822569149391198,-1443.7182351507026,0.270207336966213,0.12408756285131986,0.026836461789337296
15,1,csqa,base,test,0.8558558558558559,0.8554906677821167,2.609302043914795,-3185.957763671875,0.2850485146045685,0.14177743662194475,0.0023666024208068848
16,2,csqa,sidekick,val,0.7638603696098563,0.7629835671278998,3.2809488773345947,-3195.644287109375,0.463731974363327,0.22959761116538935,0.0075324177742004395
17,3,csqa,duo,test,0.8509418509418509,0.8505258999705398,1.4417907877625655,-1760.4265518580926,0.2654191212593876,0.12157284305560886,0.029921630536430377
18,4,csqa,base,val,0.86652977412731,0.8662222541753225,2.3393232822418213,-2278.5009765625,0.2626611888408661,0.13212996372452013,0.0023029446601867676
19,5,csqa,sidekick,test,0.7469287469287469,0.7466703357906082,3.47839093208313,-4247.115234375,0.4960651099681854,0.24683461796544207,0.007512569427490234
20,1,csqa,duo,val,0.8583162217659137,0.8577757204272667,1.3894873670886791,-1353.3606955443736,0.2539671904572423,0.117498307779169,0.024185470454917257
21,2,csqa,base,test,0.8484848484848485,0.8484063539839874,2.5206174850463867,-3077.673828125,0.30058830976486206,0.15155415150301066,0.0023651123046875
22,3,csqa,sidekick,val,0.7638603696098563,0.7629835671278998,3.2809488773345947,-3195.644287109375,0.463731974363327,0.22959761116538935,0.0075324177742004395
23,4,csqa,duo,test,0.8509418509418509,0.8505444769100592,1.4109223527236565,-1722.7361926755846,0.26720511627828086,0.12534262387743195,0.024494832494404872
24,5,csqa,base,val,0.864476386036961,0.8641594731004212,2.4341483116149902,-2370.8603515625,0.2658996880054474,0.1324406553220455,0.0051953792572021484
25,1,csqa,sidekick,test,0.7469287469287469,0.7466703357906082,3.47839093208313,-4247.115234375,0.4960651099681854,0.24683461796544207,0.007512569427490234
26,2,csqa,duo,val,0.8583162217659137,0.8578542168018005,1.3067614705209116,-1272.785672287368,0.24983111255168594,0.1170507196247759,0.027182573582346437
27,3,csqa,base,test,0.8501228501228502,0.8498115693074201,2.5753848552703857,-3144.544921875,0.2950807511806488,0.14724498289125457,0.00340878963470459
28,4,csqa,sidekick,val,0.7638603696098563,0.7629835671278998,3.2809488773345947,-3195.644287109375,0.463731974363327,0.22959761116538935,0.0075324177742004395
29,5,csqa,duo,test,0.8402948402948403,0.8395555175779872,1.4968548349959705,-1827.65975353008,0.2842833706258882,0.13074298619284908,0.028962173512310674
