,seed,data,model,split,accuracy,f1_macro,nll,lppd,brier,ece,mean_uncertainty
0,1,arc_c,base,val,0.882943143812709,0.9060829926583231,1.694037675857544,-506.51727294921875,0.23037511110305786,0.11684900661774708,0.0026974081993103027
1,2,arc_c,sidekick,test,0.4948805460750853,0.4938268048206928,7.878223896026611,-9233.2783203125,0.9873626828193665,0.490604907986247,0.01770496368408203
2,3,arc_c,duo,val,0.8595317725752508,0.8866746785815065,0.4649108052253723,-139.00833129882812,0.2161368876695633,0.04477891226277305,0.11721241474151611
3,4,arc_c,base,test,0.8694539249146758,0.8697551236111328,2.03560209274292,-2385.7255859375,0.25346651673316956,0.1276380317762444,0.004152059555053711
4,5,arc_c,sidekick,val,0.5150501672240803,0.41273816500067306,7.468660831451416,-2233.129638671875,0.9456526637077332,0.46747807734786073,0.017471671104431152
5,1,arc_c,duo,test,0.863481228668942,0.8642698836314143,0.5136054754257202,-601.9456176757812,0.23309792578220367,0.04049796354241748,0.10004746913909912
6,2,arc_c,base,val,0.882943143812709,0.9059092576739636,1.4495857954025269,-433.4261474609375,0.22669363021850586,0.11562031367949424,0.006510734558105469
7,3,arc_c,sidekick,test,0.4948805460750853,0.4938268048206928,7.878223896026611,-9233.2783203125,0.9873626828193665,0.490604907986247,0.01770496368408203
8,4,arc_c,duo,val,0.8729096989966555,0.8976322812011347,0.45805537700653076,-136.95855712890625,0.2094123661518097,0.040043609497140455,0.12001633644104004
9,5,arc_c,base,test,0.8694539249146758,0.8703539084674736,1.9651633501052856,-2303.17138671875,0.2513222098350525,0.1248349541283305,0.007054269313812256
10,1,arc_c,sidekick,val,0.5150501672240803,0.41273816500067306,7.468660831451416,-2233.129638671875,0.9456526637077332,0.46747807734786073,0.017471671104431152
11,2,arc_c,duo,test,0.8668941979522184,0.8681040375681737,0.4892306923866272,-573.3783569335938,0.2201257348060608,0.03722907050986337,0.09678196907043457
12,3,arc_c,base,val,0.8662207357859532,0.8921750425506225,1.7911940813064575,-535.5670166015625,0.26063910126686096,0.13247562910003402,0.0043228864669799805
13,4,arc_c,sidekick,test,0.4948805460750853,0.4938268048206928,7.878223896026611,-9233.2783203125,0.9873626828193665,0.490604907986247,0.01770496368408203
14,5,arc_c,duo,val,0.8695652173913043,0.8955101692519793,0.4379470944404602,-130.94618225097656,0.20535753667354584,0.03377478537352187,0.10861003398895264
15,1,arc_c,base,test,0.8643344709897611,0.8650922689253648,2.188399076461792,-2564.8037109375,0.2674248218536377,0.13118812095996868,0.004477441310882568
16,2,arc_c,sidekick,val,0.5150501672240803,0.41273816500067306,7.468660831451416,-2233.129638671875,0.9456526637077332,0.46747807734786073,0.017471671104431152
17,3,arc_c,duo,test,0.8643344709897611,0.864964651221451,0.498174250125885,-583.8602294921875,0.22454433143138885,0.02832258886851548,0.10850435495376587
18,4,arc_c,base,val,0.882943143812709,0.9059388172446893,1.9107745885849,-571.3215942382812,0.2367776781320572,0.12266058487238297,0.007761776447296143
19,5,arc_c,sidekick,test,0.4948805460750853,0.4938268048206928,7.878223896026611,-9233.2783203125,0.9873626828193665,0.490604907986247,0.01770496368408203
20,1,arc_c,duo,val,0.882943143812709,0.9060829926583231,0.4261344075202942,-127.4141845703125,0.192891463637352,0.03823681110921114,0.10348916053771973
21,2,arc_c,base,test,0.8677474402730375,0.868851913760319,1.8965139389038086,-2222.71435546875,0.25784415006637573,0.12825843930854738,0.006449401378631592
22,3,arc_c,sidekick,val,0.5150501672240803,0.41273816500067306,7.468660831451416,-2233.129638671875,0.9456526637077332,0.46747807734786073,0.017471671104431152
23,4,arc_c,duo,test,0.8694539249146758,0.8697032909885993,0.468830943107605,-549.4698486328125,0.2130260020494461,0.02269000966902887,0.11305230855941772
24,5,arc_c,base,val,0.8795986622073578,0.9036754254353061,1.6777328252792358,-501.6421203613281,0.23851758241653442,0.12095530914223708,0.005093395709991455
25,1,arc_c,sidekick,test,0.4948805460750853,0.4938268048206928,7.878223896026611,-9233.2783203125,0.9873626828193665,0.490604907986247,0.01770496368408203
26,2,arc_c,duo,val,0.8795986622073578,0.9031360613979953,0.4080063998699188,-121.99391174316406,0.1905309557914734,0.053303776078399624,0.10231000185012817
27,3,arc_c,base,test,0.863481228668942,0.8640165573118412,2.0149214267730713,-2361.48779296875,0.26543208956718445,0.1323467221988346,0.004172027111053467
28,4,arc_c,sidekick,val,0.5150501672240803,0.41273816500067306,7.468660831451416,-2233.129638671875,0.9456526637077332,0.46747807734786073,0.017471671104431152
29,5,arc_c,duo,test,0.8694539249146758,0.870381215212717,0.48304224014282227,-566.12548828125,0.21653693914413452,0.031067230621092172,0.1007469892501831
